"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"113",113,"gbif","2629690964",19.498333,-105.044167,"si",1985,11,26,"Jalisco","LA HUERTA","Estacion de Biologia Chamela, UNAM","NO DISPONIBLE"
"115",115,"gbif","2629651236",19.366667,-96.808333,"si",1993,12,8,"Veracruz","COATEPEC","Coatepec, desviacií_n a Jalcomulco","Selva baja caducifolia"
"116",116,"gbif","2629648087",20.983889,-98.197222,"si",1987,3,27,"Veracruz","CHICONTEPEC","Cuilotitla","Acahual, orilla de carretera"
"117",117,"gbif","2629631780",18.433889,-95.176944,"si",1981,12,4,"Veracruz","SAN ANDRES TUXTLA","2.4 km by road S of Sihuapan and junction with Hwy 180, along dirt road to Salto de Eyipantla, 4 km by air SE of San Andres Tuxtla","Selva alta perennifolia. Fencerows and tobacco fields, the original forest cleared long ago"
"119",119,"gbif","2629597922",18.794972,-96.071111,"si",2004,11,8,"Veracruz","TLALIXCOYAN","Los Amatones","Caduciforme"
"120",120,"gbif","2629568046",19.239167,-96.32,"si",1987,3,19,"Veracruz","LA ANTIGUA","Loma Iguana","Selva baja caducifolia. Colectado a orilla de la ví_a"
"125",125,"gbif","2629515962",19.383611,-96.844722,"si",1994,1,4,"Veracruz","COATEPEC","5 km al SE de Tuzamapan","ENCINAR"
"126",126,"gbif","2629480286",19.225,-96.358333,"si",1987,2,10,"Veracruz","PASO DE OVEJAS","Paso Real, camino al Rancho El Tulipíçn","Selva mediana subcaducifolia. Terreno sujeto a inundacion"
"128",128,"gbif","2629452807",16.801667,-99.835,"si",1980,12,30,"Guerrero","ACAPULCO DE JUAREZ","1 km al N de Puerto MarquíŠs","NO DISPONIBLE"
"130",130,"gbif","2611040790",19.105864,-104.293614,"si",2013,2,28,"Colima","","Manzanillo, COL, MX",""
"135",135,"gbif","2426849356",16.8134,-98.6801,"si",2017,1,7,"Guerrero","San Luis Acatlan","PUEBLO: Yoloxochitl; LOCALIDAD EXACTA: A 1.10 km en linea recta al sureste de Yoloxichitl. A lado de la carretera que va a Cuanacaxtitlan. En el cerco de la parcela de Pedro Celestino.","Vegetacií_n secundaria de bosque tropical subcaducifolio, con Curatella americana, Coccoloba (Jobero), Genipa americana, Lysiloma, Bursera simaruba | Creciendo a la orilla de la carretera."
"136",136,"gbif","2426847045",16.8197,-98.7659,"si",2016,4,18,"Guerrero","San Luis Acatlan","PUEBLO: Yoloxachitl; LOCALIDAD EXACTA: Caminando directamente al oriente del pueblo, hacia Arroyo Cumiapa a 500 m de la ultima casa, en un paraje llamado Arroyo Guarumbo.","Bosque de galerí_a, vegetacií_n secundaria con Andira inermis, Xylosma, Ficus, trepadoras aríçceas | Sobre una cerca a lado de la carretera a Arroyo Cumiapa."
"142",142,"gbif","2268915024",23.38809774,-105.9456487,"si",1969,1,4,"Sinaloa","","26 mi E of Jct. Mex. 15 & 40 on Mex. 40.",""
"146",146,"gbif","2236023303",17.98301542,-101.6146148,"si",1937,10,12,"Guerrero","","Vallecitos. District Montes de Oca.",""
"147",147,"gbif","2235980699",18.12226955,-96.14720526,"si",1894,4,9,"Oaxaca","","North of Tuxtepec.",""
"148",148,"gbif","2235942705",17.20569684,-100.4331379,"si",1937,3,12,"Guerrero","","Atoyac. District Galeana.",""
"164",164,"gbif","1897376246",15.925222,-96.798472,"si",2008,12,6,"Oaxaca","SAN BARTOLOME LOXICHA","300 m despuíŠs de Rancherí_a de La Chinilla","Sobre brecha"
"175",175,"gbif","1897376202",15.773167,-96.21225,"si",2005,1,16,"Oaxaca","SANTA MARIA HUATULCO","Sobre el Rio Xuchil, a 9 km en l.r. (210 N) del puente Xuchitl","Bosque de galerí_a a orilla de arroyo temporal, con Ceiba, Ficus, Leguminosas, Acacia, Cordia y pasto"
"176",176,"gbif","1897376196",18.74379,-103.67642,"si",2004,1,31,"Michoacan","COAHUAYANA","1 km al S Coahuayana","Zona agricola, a orilla de camino"
"177",177,"gbif","1897376181",17.165556,-99.526389,"si",1966,1,1,"Guerrero","JUAN R. ESCUDERO","Tierra Colorada","Orilla de una carretera que atraviesa una ladera de fuerte declive orientada al E y cubierta de rocas graniticas"
"180",180,"gbif","1895947288",20.133333,-97.492778,"si",1998,2,11,"Puebla","TUZAMAPAN DE GALEANA","2.5 km al NE de Ricardo Flores Magon, magenes del rio Zempoala.","NO DISPONIBLE"
"184",184,"gbif","1895527134",17.208889,-100.434169,"si",1937,12,3,"Guerrero","ATOYAC DE ALVAREZ","Atoyac, Dto Galeana","Wooded hill"
"189",189,"gbif","1895527105",16.94759833,-99.96735084,"si",1971,2,23,"Guerrero","ACAPULCO DE JUAREZ","Pieniedelaquesta, 16 Km NW de Acapulco","Beach and flatland behind beach"
"197",197,"gbif","1893730289",19.491667,-96.491667,"si",1980,2,20,"Veracruz","PUENTE NACIONAL","CONEJOS, MPIO. PUENTE NACIONAL","MATORRAL EN CAíďADA"
